user_id,location,duration,budget,mood,preferences,poi_name,rating
1,Shimla,3,low,Cultural,"spiritual,art",Mall Road,5
2,Leh,5,low,Busy,"shopping,food,nature",Shanti Stupa,3
3,Hampi,2,medium,Foodie,"adventure,shopping,art",Hampi Bazaar,4
4,Bangalore,10,medium,Romantic,"nature,art",Bangalore Palace,5
5,Varanasi,4,high,Luxury,food,Sarnath,5
6,Kolkata,10,low,Busy,"adventure,shopping,nature",Victoria Memorial,4
7,Pushkar,13,high,Adventure,architecture,Brahma Temple,3
8,Bangalore,9,high,Luxury,"history,shopping,adventure",Nandi Hills,5
9,Coorg,7,low,Romantic,"spiritual,beaches,entertainment",Nisargadhama,5
10,Kolkata,7,low,Adventure,"adventure,entertainment,history",Howrah Bridge,4
11,Sikkim,11,low,Romantic,history,MG Marg,5
12,Mumbai,2,low,Romantic,"architecture,spiritual",Marine Drive,3
13,Shimla,7,low,Adventure,adventure,Kufri,4
14,Leh,8,low,Romantic,"history,food",Nubra Valley,5
15,Sikkim,6,low,Cultural,"adventure,temples",Tsongmo Lake,3
16,Rishikesh,5,medium,Foodie,"wildlife,art",Neelkanth Mahadev Temple,4
17,Andaman,3,medium,Adventure,"nature,wildlife",Cellular Jail,5
18,Agra,8,high,Cultural,nature,Agra Fort,5
19,Bangalore,5,high,Aesthetic,entertainment,Cubbon Park,4
20,Hyderabad,4,high,Romantic,"art,shopping",Golconda Fort,5
21,Darjeeling,13,medium,Romantic,"adventure,shopping",Batasia Loop,3
22,Manali,4,high,Adventure,wildlife,Hadimba Temple,3
23,Jaisalmer,6,high,Aesthetic,beaches,Jaisalmer Fort,4
24,Amritsar,13,low,Adventure,"shopping,history",Durgiana Temple,3
25,Amritsar,4,low,Adventure,entertainment,Golden Temple,5
26,Mumbai,2,low,Foodie,"urban hotspots,art,shopping",Elephanta Caves,3
27,Kolkata,5,low,Cultural,"urban hotspots,food",Howrah Bridge,3
28,Pondicherry,5,low,Aesthetic,"nature,architecture",Aurobindo Ashram,4
29,Jaipur,8,medium,Adventure,"spiritual,history,urban hotspots",Jantar Mantar,5
30,Hyderabad,10,high,Cultural,urban hotspots,Hussain Sagar Lake,4
31,Bangalore,14,low,Luxury,"architecture,temples",Bangalore Palace,4
32,Bodhgaya,9,low,Romantic,"wildlife,history,shopping",Karmapa Monastery,3
33,Hampi,2,medium,Aesthetic,"nature,shopping,wildlife",Virupaksha Temple,4
34,Amritsar,13,high,Foodie,urban hotspots,Partition Museum,3
35,Leh,3,medium,Busy,"nature,wildlife,adventure",Leh Palace,5
36,Mysore,8,high,Busy,"entertainment,architecture",Rail Museum,3
37,Kerala,10,high,Foodie,urban hotspots,Athirappilly Falls,5
38,Jaipur,10,low,Relaxed,"entertainment,shopping",Amber Fort,4
39,Udaipur,14,high,Relaxed,"shopping,history",Saheliyon ki Bari,5
40,Manali,8,medium,Cultural,"temples,beaches",Jogini Falls,3
41,Shimla,12,medium,Luxury,history,Kufri,5
42,Manali,8,high,Foodie,"art,adventure,entertainment",Solang Valley,5
43,Leh,10,low,Luxury,"spiritual,architecture,nature",Nubra Valley,5
44,Coorg,14,low,Cultural,"art,history",Raja's Seat,4
45,Delhi,5,low,Luxury,temples,Humayun's Tomb,5
46,Agra,6,low,Luxury,"nature,beaches,food",Taj Mahal,5
47,Amritsar,7,high,Adventure,temples,Partition Museum,3
48,Rishikesh,4,low,Relaxed,"beaches,temples,adventure",Neelkanth Mahadev Temple,4
49,Guwahati,14,low,Relaxed,"shopping,history",Kamakhya Temple,3
50,Bodhgaya,10,medium,Foodie,"beaches,art,shopping",Karmapa Monastery,5
51,Hampi,12,medium,Relaxed,art,Virupaksha Temple,4
52,Bangalore,3,low,Busy,beaches,Cubbon Park,5
53,Hyderabad,4,high,Relaxed,"beaches,nature,urban hotspots",Hussain Sagar Lake,3
54,Agra,6,low,Adventure,"adventure,spiritual",Taj Mahal,3
55,Delhi,14,high,Cultural,"history,art,spiritual",Red Fort,3
56,Coorg,11,high,Adventure,"shopping,wildlife,food",Raja's Seat,5
57,Jaisalmer,9,medium,Cultural,"art,history,wildlife",Sam Sand Dunes,4
58,Hyderabad,13,medium,Busy,shopping,Hussain Sagar Lake,5
59,Andaman,9,medium,Busy,"history,food,spiritual",Havelock Island,4
60,Jaipur,8,medium,Luxury,"adventure,spiritual,urban hotspots",City Palace,4
61,Hampi,6,low,Busy,"temples,food",Vijaya Vittala Temple,3
62,Coorg,12,medium,Foodie,"temples,spiritual,urban hotspots",Nisargadhama,3
63,Sikkim,5,medium,Romantic,"beaches,food,nature",Rumtek Monastery,4
64,Mysore,3,high,Busy,"spiritual,history",Mysore Palace,3
65,Chennai,5,medium,Luxury,"shopping,food,history",Guindy National Park,4
66,Andaman,8,low,Aesthetic,history,Baratang Island,5
67,Darjeeling,11,high,Aesthetic,"spiritual,food",Darjeeling Himalayan Railway,3
68,Varanasi,14,medium,Romantic,"temples,adventure",Ramnagar Fort,5
69,Kolkata,6,low,Relaxed,"beaches,art,history",Dakshineswar Kali Temple,4
70,Shimla,6,medium,Busy,"spiritual,architecture,beaches",Christ Church,5
71,Mysore,4,medium,Busy,"urban hotspots,spiritual",St. Philomena's Church,4
72,Delhi,14,low,Aesthetic,nature,India Gate,3
73,Bangalore,14,high,Busy,"spiritual,adventure",Nandi Hills,3
74,Rishikesh,5,high,Adventure,"spiritual,beaches,wildlife",Beatles Ashram,5
75,Shimla,11,medium,Foodie,"wildlife,art,entertainment",The Ridge,4
76,Manali,6,low,Luxury,"adventure,art",Solang Valley,3
77,Rishikesh,6,low,Luxury,architecture,Neelkanth Mahadev Temple,3
78,Goa,8,medium,Busy,"adventure,food,beaches",Baga Beach,4
79,Hampi,5,low,Cultural,"nature,urban hotspots",Hampi Bazaar,4
80,Goa,12,high,Aesthetic,"spiritual,architecture,entertainment",Dudhsagar Falls,3
81,Amritsar,12,high,Cultural,"entertainment,food,adventure",Partition Museum,4
82,Sikkim,2,medium,Romantic,food,Tsongmo Lake,3
83,Shimla,11,low,Foodie,"spiritual,wildlife",Christ Church,3
84,Amritsar,9,medium,Adventure,wildlife,Jallianwala Bagh,3
85,Leh,5,medium,Busy,temples,Magnetic Hill,5
86,Goa,11,medium,Adventure,"beaches,shopping,adventure",Baga Beach,5
87,Sikkim,4,low,Busy,nature,MG Marg,5
88,Manali,13,medium,Relaxed,"history,food,shopping",Jogini Falls,4
89,Jaipur,14,low,Aesthetic,"beaches,urban hotspots,food",Jantar Mantar,4
90,Delhi,8,low,Busy,history,Red Fort,3
91,Goa,2,medium,Aesthetic,shopping,Baga Beach,3
92,Darjeeling,3,low,Luxury,"art,temples,shopping",Batasia Loop,5
93,Goa,10,low,Relaxed,"nature,beaches,shopping",Baga Beach,3
94,Kolkata,8,low,Cultural,"nature,food",Victoria Memorial,4
95,Goa,11,low,Busy,nature,Calangute Beach,3
96,Delhi,5,medium,Cultural,"urban hotspots,temples,beaches",India Gate,4
97,Varanasi,7,low,Cultural,adventure,Ramnagar Fort,5
98,Chennai,6,medium,Aesthetic,architecture,Fort St. George,5
99,Amritsar,14,medium,Luxury,entertainment,Partition Museum,3
100,Varanasi,13,high,Luxury,spiritual,Ramnagar Fort,4
101,Hyderabad,4,low,Cultural,"shopping,architecture,food",Hussain Sagar Lake,5
102,Kerala,5,high,Busy,"nature,adventure,entertainment",Wayanad,4
103,Mysore,12,high,Foodie,urban hotspots,Brindavan Gardens,4
104,Jaisalmer,3,high,Aesthetic,"adventure,art",Gadisar Lake,4
105,Kolkata,4,high,Relaxed,"entertainment,food",St. Paul's Cathedral,3
106,Jaisalmer,11,low,Cultural,adventure,Patwon Ki Haveli,5
107,Jaipur,13,low,Busy,architecture,City Palace,3
108,Shimla,5,high,Relaxed,"art,nature",The Ridge,5
109,Udaipur,13,high,Luxury,entertainment,Lake Pichola,3
110,Goa,13,high,Luxury,"urban hotspots,wildlife",Calangute Beach,4
111,Goa,6,high,Adventure,food,Baga Beach,3
112,Pondicherry,7,low,Foodie,"spiritual,temples,architecture",Paradise Beach,4
113,Agra,7,low,Aesthetic,"adventure,urban hotspots",Itmad-ud-Daulah,4
114,Amritsar,7,medium,Cultural,"art,history",Jallianwala Bagh,3
115,Leh,8,high,Adventure,"temples,art",Shanti Stupa,4
116,Jaisalmer,7,high,Adventure,"nature,shopping",Salim Singh Ki Haveli,3
117,Goa,9,low,Busy,"temples,shopping,spiritual",Dudhsagar Falls,4
118,Mumbai,13,high,Cultural,architecture,Elephanta Caves,5
119,Bangalore,9,high,Foodie,wildlife,Cubbon Park,3
120,Amritsar,4,medium,Adventure,"spiritual,wildlife",Golden Temple,3
121,Goa,4,low,Adventure,beaches,Calangute Beach,4
122,Coorg,4,medium,Adventure,history,Madikeri Fort,3
123,Bangalore,6,low,Adventure,"wildlife,beaches,entertainment",Bangalore Palace,4
124,Rishikesh,10,low,Relaxed,"entertainment,beaches",Neelkanth Mahadev Temple,4
125,Hyderabad,8,medium,Adventure,"history,art,wildlife",Golconda Fort,4
126,Hyderabad,14,high,Aesthetic,temples,Hussain Sagar Lake,5
127,Coorg,4,low,Foodie,"wildlife,art,history",Abbey Falls,3
128,Pushkar,2,high,Foodie,"adventure,architecture,art",Brahma Temple,4
129,Bodhgaya,2,high,Adventure,"history,art",Bodhi Tree,4
130,Chennai,10,medium,Adventure,"wildlife,food",San Thome Basilica,4
131,Bangalore,6,medium,Foodie,nature,Bangalore Palace,5
132,Leh,8,high,Relaxed,"temples,urban hotspots",Shanti Stupa,5
133,Andaman,3,high,Luxury,"spiritual,temples,entertainment",Ross Island,3
134,Kerala,10,low,Relaxed,"architecture,entertainment,art",Athirappilly Falls,5
135,Delhi,13,medium,Adventure,"spiritual,entertainment",Red Fort,4
136,Shimla,5,medium,Adventure,"nature,entertainment,beaches",Jakhoo Temple,3
137,Jaisalmer,14,high,Relaxed,"nature,urban hotspots,temples",Jaisalmer Fort,4
138,Amritsar,7,low,Cultural,"shopping,adventure,architecture",Wagah Border,4
139,Shimla,12,low,Relaxed,"wildlife,temples",Mall Road,5
140,Pondicherry,3,low,Romantic,"urban hotspots,food,art",Promenade Beach,5
141,Sikkim,10,high,Aesthetic,"urban hotspots,history",MG Marg,4
142,Varanasi,7,high,Cultural,"nature,wildlife",Dashashwamedh Ghat,4
143,Kolkata,8,high,Luxury,"entertainment,food",Howrah Bridge,3
144,Agra,7,medium,Cultural,"wildlife,spiritual,adventure",Fatehpur Sikri,4
145,Goa,14,high,Cultural,"wildlife,history,nature",Dudhsagar Falls,5
146,Agra,2,high,Cultural,spiritual,Itmad-ud-Daulah,4
147,Darjeeling,8,medium,Busy,"wildlife,nature",Botanical Garden,4
148,Shimla,11,high,Cultural,"shopping,beaches,spiritual",The Ridge,4
149,Sikkim,2,high,Adventure,"architecture,temples",Nathula Pass,4
150,Mysore,13,high,Aesthetic,"architecture,art,spiritual",Chamundi Hill,5
151,Jaipur,4,medium,Aesthetic,shopping,Amber Fort,3
152,Pushkar,6,high,Adventure,spiritual,Savitri Temple,5
153,Jaipur,6,high,Romantic,"wildlife,entertainment",Jantar Mantar,4
154,Leh,12,high,Foodie,"entertainment,wildlife,nature",Leh Palace,3
155,Mumbai,14,medium,Romantic,history,Marine Drive,3
156,Bangalore,5,high,Foodie,history,Lalbagh Botanical Garden,4
157,Kolkata,10,low,Busy,"architecture,food",Howrah Bridge,3
158,Leh,13,high,Aesthetic,"art,beaches",Shanti Stupa,5
159,Jaisalmer,9,high,Romantic,"adventure,entertainment",Patwon Ki Haveli,5
160,Guwahati,8,medium,Relaxed,"nature,wildlife,shopping",Umananda Temple,3
161,Bangalore,2,high,Romantic,"adventure,food,temples",Lalbagh Botanical Garden,5
162,Amritsar,3,high,Adventure,"architecture,spiritual,beaches",Wagah Border,4
163,Udaipur,10,high,Foodie,"food,beaches",City Palace,4
164,Leh,10,low,Romantic,spiritual,Pangong Lake,5
165,Varanasi,8,low,Adventure,"adventure,architecture",Sarnath,3
166,Delhi,12,medium,Busy,"food,entertainment,wildlife",India Gate,3
167,Goa,2,high,Relaxed,urban hotspots,Anjuna Beach,3
168,Sikkim,3,high,Aesthetic,"shopping,beaches",Enchey Monastery,4
169,Hyderabad,3,high,Relaxed,"spiritual,temples,urban hotspots",Hussain Sagar Lake,3
170,Rishikesh,3,low,Busy,"architecture,shopping,history",Beatles Ashram,5
171,Rishikesh,8,medium,Luxury,food,Laxman Jhula,5
172,Bodhgaya,13,high,Romantic,"art,shopping",Great Buddha Statue,4
173,Pushkar,8,low,Relaxed,"adventure,temples,history",Varaha Temple,4
174,Goa,6,medium,Adventure,"architecture,entertainment",Baga Beach,5
175,Rishikesh,12,medium,Adventure,architecture,Ram Jhula,3
176,Varanasi,3,low,Cultural,"entertainment,nature,wildlife",Manikarnika Ghat,5
177,Darjeeling,6,medium,Luxury,temples,Tiger Hill,4
178,Mumbai,3,low,Cultural,nature,Elephanta Caves,4
179,Kolkata,14,high,Cultural,food,Dakshineswar Kali Temple,3
180,Pondicherry,10,low,Luxury,"temples,entertainment",Auroville,4
181,Chennai,2,high,Foodie,"adventure,art",Marina Beach,5
182,Kolkata,8,low,Luxury,temples,St. Paul's Cathedral,5
183,Pushkar,11,medium,Romantic,"spiritual,adventure,architecture",Pushkar Lake,4
184,Sikkim,2,medium,Relaxed,"spiritual,food,wildlife",MG Marg,3
185,Rishikesh,8,medium,Aesthetic,architecture,Laxman Jhula,3
186,Jaisalmer,9,low,Adventure,history,Patwon Ki Haveli,4
187,Leh,10,low,Luxury,"wildlife,architecture",Shanti Stupa,3
188,Andaman,5,medium,Foodie,"temples,shopping",Ross Island,4
189,Jaipur,4,high,Cultural,"nature,shopping",Amber Fort,4
190,Bangalore,10,low,Aesthetic,"entertainment,wildlife",Bangalore Palace,3
191,Manali,5,high,Romantic,"nature,history,wildlife",Rohtang Pass,4
192,Delhi,3,high,Foodie,"architecture,wildlife",Lotus Temple,3
193,Pondicherry,5,low,Relaxed,"urban hotspots,food",Auroville,4
194,Hampi,12,low,Foodie,"food,temples,urban hotspots",Vijaya Vittala Temple,5
195,Pondicherry,3,high,Busy,beaches,Paradise Beach,4
196,Delhi,12,high,Busy,"shopping,entertainment",Qutub Minar,5
197,Mumbai,9,medium,Luxury,"wildlife,entertainment",Chhatrapati Shivaji Terminus,4
198,Jaisalmer,14,high,Luxury,urban hotspots,Jaisalmer Fort,4
199,Darjeeling,13,medium,Cultural,"beaches,urban hotspots",Batasia Loop,3
200,Jaisalmer,8,high,Romantic,shopping,Patwon Ki Haveli,4
201,Hampi,14,high,Adventure,food,Matanga Hill,4
202,Kolkata,14,low,Luxury,"entertainment,art",Dakshineswar Kali Temple,4
203,Hyderabad,9,medium,Cultural,"adventure,beaches,architecture",Golconda Fort,3
204,Coorg,6,medium,Luxury,"urban hotspots,temples",Abbey Falls,4
205,Bodhgaya,11,high,Busy,"shopping,wildlife,adventure",Karmapa Monastery,4
206,Udaipur,12,high,Busy,"wildlife,architecture",City Palace,4
207,Kerala,12,low,Relaxed,"adventure,art,urban hotspots",Alleppey Backwaters,3
208,Manali,10,low,Relaxed,"temples,wildlife,beaches",Rohtang Pass,3
209,Rishikesh,5,medium,Relaxed,"temples,wildlife,beaches",Triveni Ghat,5
